compteur;jeu_7_9;jeu_11_13;jeu_17_19;sam_7_9;sam_11_13;sam_17_19
CP/12;373,2090567;767,6249084;823,4537024;147,4279485;840,5141284;768,7145114
CP/04;453;2556;2674;704;5172;2842
05/18;299;247;325;34;253;175
09/18;57,33333333;86;116,6666667;42;112,6666667;132,6666667
10/18;98;74,66666667;90;25,33333333;62,66666667;76
11/18;242;191;301;52;111;106
12/18;212;131;163;40;98;111
17/18;235;203;352;67;192;264
18/18;426;285;489;77;294;288
19/18;49,5;23,25;30;25,5;29,66666667;42
22/18;289;190;263;63;145;135
25/18;197;197;136;80;112;81
26/18;7790;5201;11102;3473;8253;7475
27/18;1023;1036;19;324;1286;887
28/18;119;26;26;57;212;164
29/18;176;111;216;19;59;60
30/18;266;208;208;12;43;54
31/18;77;38;35;2;11;19
32/18;82;149;151;26;107;145
04/19;759;450;728;108;444;292
05/19;125;88;147;22;22;100
06/19;27;56;45;12;25;45
07/19;639;354;563;138;414;426
09/19;361;290;425;76;178;219
11/19;132;192;320;59;150;268
12/19;83;122;179;30;88;140
17/19;204,688381;237,4306916;241,4033048;56,79201822;197,6438998;141,675686
19/19;380,5522303;559,8352932;596,5068687;215,8085571;556,9560126;506,1185632
01/20;290;387;267;52;128;116
02/20;394;321;295;48;186;160
03/20;191,3583027;135,6613431;185,8843727;23,68543856;90,04998612;94,06380813
09/20;319;499;474;169;436;314
10/20;313;364;348;145;307;266
11/20;150;270;279;64;227;252
12/20;157;287;256;67;262;208
13/20;10;9;13;1;6;4
14/20;134;119;124;53;133;74
16/20;149;177;221;42;91;98
UNI01;1132;3133;3609,5;1000,5;3798;2925
UNI03;640,5;627;1661,333333;129;1257;1203
UNI05;184,3333333;173,3333333;213,8;94,33333333;122;179
UNI06;;334;414;;;
UNI07;255;120,3333333;100,75;;146,5;134
UNI08;37;43;77;5;17;30
UNI09;164;345;377,3333333;112;379,3333333;247,3333333
UNI10;524;;;224;536;308
UNI11;515;586,3333333;575,6;290,5;560;369,5